UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Capacity(kW)
'2019', '1', '14', '6', '2019', '1', '13', '23', '0.0'
'2019', '1', '14', '7', '2019', '1', '14', '0', '0.0'
'2019', '1', '14', '8', '2019', '1', '14', '1', '0.0'
'2019', '1', '14', '9', '2019', '1', '14', '2', '0.0'
'2019', '1', '14', '10', '2019', '1', '14', '3', '0.0'
'2019', '1', '14', '11', '2019', '1', '14', '4', '0.0'
'2019', '1', '14', '12', '2019', '1', '14', '5', '0.0'
'2019', '1', '14', '13', '2019', '1', '14', '6', '0.0'
'2019', '1', '14', '14', '2019', '1', '14', '7', '0.0'
'2019', '1', '14', '15', '2019', '1', '14', '8', '1396.524844'
'2019', '1', '14', '16', '2019', '1', '14', '9', '16286.319782'
'2019', '1', '14', '17', '2019', '1', '14', '10', '31487.680309000003'
'2019', '1', '14', '18', '2019', '1', '14', '11', '30975.179063000003'
'2019', '1', '14', '19', '2019', '1', '14', '12', '24580.882281000002'
'2019', '1', '14', '20', '2019', '1', '14', '13', '25935.377703'
'2019', '1', '14', '21', '2019', '1', '14', '14', '31208.012054999996'
'2019', '1', '14', '22', '2019', '1', '14', '15', '12268.515781999997'
'2019', '1', '14', '23', '2019', '1', '14', '16', '6453.219407'
'2019', '1', '15', '0', '2019', '1', '14', '17', '0.0'
'2019', '1', '15', '1', '2019', '1', '14', '18', '0.0'
'2019', '1', '15', '2', '2019', '1', '14', '19', '0.0'
'2019', '1', '15', '3', '2019', '1', '14', '20', '0.0'
'2019', '1', '15', '4', '2019', '1', '14', '21', '0.0'
'2019', '1', '15', '5', '2019', '1', '14', '22', '0.0'
'2019', '1', '15', '6', '2019', '1', '14', '23', '0.0'
'2019', '1', '15', '7', '2019', '1', '15', '0', '0.0'
'2019', '1', '15', '8', '2019', '1', '15', '1', '0.0'
'2019', '1', '15', '9', '2019', '1', '15', '2', '0.0'
'2019', '1', '15', '10', '2019', '1', '15', '3', '0.0'
'2019', '1', '15', '11', '2019', '1', '15', '4', '0.0'
'2019', '1', '15', '12', '2019', '1', '15', '5', '0.0'
'2019', '1', '15', '13', '2019', '1', '15', '6', '0.0'
'2019', '1', '15', '14', '2019', '1', '15', '7', '0.0'
'2019', '1', '15', '15', '2019', '1', '15', '8', '1462.961297'
'2019', '1', '15', '16', '2019', '1', '15', '9', '16309.231875999998'
'2019', '1', '15', '17', '2019', '1', '15', '10', '28703.4865'
'2019', '1', '15', '18', '2019', '1', '15', '11', '26846.883250000003'
'2019', '1', '15', '19', '2019', '1', '15', '12', '28351.683687999997'
'2019', '1', '15', '20', '2019', '1', '15', '13', '62965.396672'
'2019', '1', '15', '21', '2019', '1', '15', '14', '76754.647192'
'2019', '1', '15', '22', '2019', '1', '15', '15', '56038.667832'
'2019', '1', '15', '23', '2019', '1', '15', '16', '9171.774625999999'
'2019', '1', '16', '0', '2019', '1', '15', '17', '0.0'
'2019', '1', '16', '1', '2019', '1', '15', '18', '0.0'
'2019', '1', '16', '2', '2019', '1', '15', '19', '0.0'
'2019', '1', '16', '3', '2019', '1', '15', '20', '0.0'
'2019', '1', '16', '4', '2019', '1', '15', '21', '0.0'
'2019', '1', '16', '5', '2019', '1', '15', '22', '0.0'
'2019', '1', '16', '6', '2019', '1', '15', '23', '0.0'
'2019', '1', '16', '7', '2019', '1', '16', '0', '0.0'
'2019', '1', '16', '8', '2019', '1', '16', '1', '0.0'
'2019', '1', '16', '9', '2019', '1', '16', '2', '0.0'
'2019', '1', '16', '10', '2019', '1', '16', '3', '0.0'
'2019', '1', '16', '11', '2019', '1', '16', '4', '0.0'
'2019', '1', '16', '12', '2019', '1', '16', '5', '0.0'
'2019', '1', '16', '13', '2019', '1', '16', '6', '0.0'
'2019', '1', '16', '14', '2019', '1', '16', '7', '0.0'
'2019', '1', '16', '15', '2019', '1', '16', '8', '408.26667199999997'
'2019', '1', '16', '16', '2019', '1', '16', '9', '22824.856359'
'2019', '1', '16', '17', '2019', '1', '16', '10', '44794.291251'
'2019', '1', '16', '18', '2019', '1', '16', '11', '35744.620047'
'2019', '1', '16', '19', '2019', '1', '16', '12', '32305.227126'
'2019', '1', '16', '20', '2019', '1', '16', '13', '63519.775625999995'
'2019', '1', '16', '21', '2019', '1', '16', '14', '71183.52241199999'
'2019', '1', '16', '22', '2019', '1', '16', '15', '48966.546549'
'2019', '1', '16', '23', '2019', '1', '16', '16', '9543.132189'
'2019', '1', '17', '0', '2019', '1', '16', '17', '0.0'
'2019', '1', '17', '1', '2019', '1', '16', '18', '0.0'
'2019', '1', '17', '2', '2019', '1', '16', '19', '0.0'
'2019', '1', '17', '3', '2019', '1', '16', '20', '0.0'
'2019', '1', '17', '4', '2019', '1', '16', '21', '0.0'
'2019', '1', '17', '5', '2019', '1', '16', '22', '0.0'
'2019', '1', '17', '6', '2019', '1', '16', '23', '0.0'
'2019', '1', '17', '7', '2019', '1', '17', '0', '0.0'
'2019', '1', '17', '8', '2019', '1', '17', '1', '0.0'
'2019', '1', '17', '9', '2019', '1', '17', '2', '0.0'
'2019', '1', '17', '10', '2019', '1', '17', '3', '0.0'
'2019', '1', '17', '11', '2019', '1', '17', '4', '0.0'
'2019', '1', '17', '12', '2019', '1', '17', '5', '0.0'
'2019', '1', '17', '13', '2019', '1', '17', '6', '0.0'
'2019', '1', '17', '14', '2019', '1', '17', '7', '0.0'
'2019', '1', '17', '15', '2019', '1', '17', '8', '1601.993531'
'2019', '1', '17', '16', '2019', '1', '17', '9', '32977.059501'
'2019', '1', '17', '17', '2019', '1', '17', '10', '73427.82841799999'
'2019', '1', '17', '18', '2019', '1', '17', '11', '66304.467859'
'2019', '1', '17', '19', '2019', '1', '17', '12', '59680.775094'
'2019', '1', '17', '20', '2019', '1', '17', '13', '66261.323297'
'2019', '1', '17', '21', '2019', '1', '17', '14', '73635.20977'
'2019', '1', '17', '22', '2019', '1', '17', '15', '57317.551704000005'
'2019', '1', '17', '23', '2019', '1', '17', '16', '9727.537954'
'2019', '1', '18', '0', '2019', '1', '17', '17', '0.0'
'2019', '1', '18', '1', '2019', '1', '17', '18', '0.0'
'2019', '1', '18', '2', '2019', '1', '17', '19', '0.0'
'2019', '1', '18', '3', '2019', '1', '17', '20', '0.0'
'2019', '1', '18', '4', '2019', '1', '17', '21', '0.0'
'2019', '1', '18', '5', '2019', '1', '17', '22', '0.0'
'2019', '1', '18', '6', '2019', '1', '17', '23', '0.0'
'2019', '1', '18', '7', '2019', '1', '18', '0', '0.0'
'2019', '1', '18', '8', '2019', '1', '18', '1', '0.0'
'2019', '1', '18', '9', '2019', '1', '18', '2', '0.0'
'2019', '1', '18', '10', '2019', '1', '18', '3', '0.0'
'2019', '1', '18', '11', '2019', '1', '18', '4', '0.0'
'2019', '1', '18', '12', '2019', '1', '18', '5', '0.0'
