UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'2019', '1', '28', '22', '2019', '1', '28', '15', '0.92939075'
'2019', '1', '28', '23', '2019', '1', '28', '16', '0.397876094'
'2019', '1', '29', '0', '2019', '1', '28', '17', '0.012487159'
'2019', '1', '29', '1', '2019', '1', '28', '18', '0.0'
'2019', '1', '29', '2', '2019', '1', '28', '19', '0.0'
'2019', '1', '29', '3', '2019', '1', '28', '20', '0.0'
'2019', '1', '29', '4', '2019', '1', '28', '21', '0.0'
'2019', '1', '29', '5', '2019', '1', '28', '22', '0.0'
'2019', '1', '29', '6', '2019', '1', '28', '23', '0.0'
'2019', '1', '29', '7', '2019', '1', '29', '0', '0.0'
'2019', '1', '29', '8', '2019', '1', '29', '1', '0.0'
'2019', '1', '29', '9', '2019', '1', '29', '2', '0.0'
'2019', '1', '29', '10', '2019', '1', '29', '3', '0.0'
'2019', '1', '29', '11', '2019', '1', '29', '4', '0.0'
'2019', '1', '29', '12', '2019', '1', '29', '5', '0.0'
'2019', '1', '29', '13', '2019', '1', '29', '6', '0.0'
'2019', '1', '29', '14', '2019', '1', '29', '7', '0.0'
'2019', '1', '29', '15', '2019', '1', '29', '8', '0.0'
'2019', '1', '29', '16', '2019', '1', '29', '9', '0.083383211'
'2019', '1', '29', '17', '2019', '1', '29', '10', '0.449351312'
'2019', '1', '29', '18', '2019', '1', '29', '11', '0.422781281'
'2019', '1', '29', '19', '2019', '1', '29', '12', '0.45963040699999996'
'2019', '1', '29', '20', '2019', '1', '29', '13', '0.442977906'
'2019', '1', '29', '21', '2019', '1', '29', '14', '0.603641844'
'2019', '1', '29', '22', '2019', '1', '29', '15', '0.564351395'
'2019', '1', '29', '23', '2019', '1', '29', '16', '0.24936827'
'2019', '1', '30', '0', '2019', '1', '29', '17', '0.001378026'
'2019', '1', '30', '1', '2019', '1', '29', '18', '0.0'
'2019', '1', '30', '2', '2019', '1', '29', '19', '0.0'
'2019', '1', '30', '3', '2019', '1', '29', '20', '0.0'
'2019', '1', '30', '4', '2019', '1', '29', '21', '0.0'
'2019', '1', '30', '5', '2019', '1', '29', '22', '0.0'
'2019', '1', '30', '6', '2019', '1', '29', '23', '0.0'
'2019', '1', '30', '7', '2019', '1', '30', '0', '0.0'
'2019', '1', '30', '8', '2019', '1', '30', '1', '0.0'
'2019', '1', '30', '9', '2019', '1', '30', '2', '0.0'
'2019', '1', '30', '10', '2019', '1', '30', '3', '0.0'
'2019', '1', '30', '11', '2019', '1', '30', '4', '0.0'
'2019', '1', '30', '12', '2019', '1', '30', '5', '0.0'
'2019', '1', '30', '13', '2019', '1', '30', '6', '0.0'
'2019', '1', '30', '14', '2019', '1', '30', '7', '0.0'
'2019', '1', '30', '15', '2019', '1', '30', '8', '0.0'
'2019', '1', '30', '16', '2019', '1', '30', '9', '0.11619844900000001'
'2019', '1', '30', '17', '2019', '1', '30', '10', '0.543892071'
'2019', '1', '30', '18', '2019', '1', '30', '11', '0.566057235'
'2019', '1', '30', '19', '2019', '1', '30', '12', '0.264661434'
'2019', '1', '30', '20', '2019', '1', '30', '13', '0.360585172'
'2019', '1', '30', '21', '2019', '1', '30', '14', '0.329810344'
'2019', '1', '30', '22', '2019', '1', '30', '15', '0.303324235'
'2019', '1', '30', '23', '2019', '1', '30', '16', '0.23943710899999998'
'2019', '1', '31', '0', '2019', '1', '30', '17', '0.041667078'
'2019', '1', '31', '1', '2019', '1', '30', '18', '0.0'
'2019', '1', '31', '2', '2019', '1', '30', '19', '0.0'
'2019', '1', '31', '3', '2019', '1', '30', '20', '0.0'
'2019', '1', '31', '4', '2019', '1', '30', '21', '0.0'
'2019', '1', '31', '5', '2019', '1', '30', '22', '0.0'
'2019', '1', '31', '6', '2019', '1', '30', '23', '0.0'
'2019', '1', '31', '7', '2019', '1', '31', '0', '0.0'
'2019', '1', '31', '8', '2019', '1', '31', '1', '0.0'
'2019', '1', '31', '9', '2019', '1', '31', '2', '0.0'
'2019', '1', '31', '10', '2019', '1', '31', '3', '0.0'
'2019', '1', '31', '11', '2019', '1', '31', '4', '0.0'
'2019', '1', '31', '12', '2019', '1', '31', '5', '0.0'
'2019', '1', '31', '13', '2019', '1', '31', '6', '0.0'
'2019', '1', '31', '14', '2019', '1', '31', '7', '0.0'
'2019', '1', '31', '15', '2019', '1', '31', '8', '0.0'
'2019', '1', '31', '16', '2019', '1', '31', '9', '0.12504643799999998'
'2019', '1', '31', '17', '2019', '1', '31', '10', '0.693704281'
'2019', '1', '31', '18', '2019', '1', '31', '11', '0.609869125'
'2019', '1', '31', '19', '2019', '1', '31', '12', '0.6014889840000001'
'2019', '1', '31', '20', '2019', '1', '31', '13', '0.661883'
'2019', '1', '31', '21', '2019', '1', '31', '14', '0.46953826600000004'
'2019', '1', '31', '22', '2019', '1', '31', '15', '0.737303813'
'2019', '1', '31', '23', '2019', '1', '31', '16', '0.321824438'
'2019', '2', '1', '0', '2019', '1', '31', '17', '0.013684535'
'2019', '2', '1', '1', '2019', '1', '31', '18', '0.0'
'2019', '2', '1', '2', '2019', '1', '31', '19', '0.0'
'2019', '2', '1', '3', '2019', '1', '31', '20', '0.0'
'2019', '2', '1', '4', '2019', '1', '31', '21', '0.0'
'2019', '2', '1', '5', '2019', '1', '31', '22', '0.0'
'2019', '2', '1', '6', '2019', '1', '31', '23', '0.0'
'2019', '2', '1', '7', '2019', '2', '1', '0', '0.0'
'2019', '2', '1', '8', '2019', '2', '1', '1', '0.0'
'2019', '2', '1', '9', '2019', '2', '1', '2', '0.0'
'2019', '2', '1', '10', '2019', '2', '1', '3', '0.0'
'2019', '2', '1', '11', '2019', '2', '1', '4', '0.0'
'2019', '2', '1', '12', '2019', '2', '1', '5', '0.0'
'2019', '2', '1', '13', '2019', '2', '1', '6', '0.0'
'2019', '2', '1', '14', '2019', '2', '1', '7', '0.0'
'2019', '2', '1', '15', '2019', '2', '1', '8', '0.003620136'
'2019', '2', '1', '16', '2019', '2', '1', '9', '0.180679332'
'2019', '2', '1', '17', '2019', '2', '1', '10', '0.34839914299999997'
'2019', '2', '1', '18', '2019', '2', '1', '11', '0.870231344'
'2019', '2', '1', '19', '2019', '2', '1', '12', '0.438406953'
'2019', '2', '1', '20', '2019', '2', '1', '13', '0.523020501'
