UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Capacity(kW)
'2019', '12', '16', '0', '2019', '12', '15', '19', '0.0'
'2019', '12', '16', '1', '2019', '12', '15', '20', '0.0'
'2019', '12', '16', '2', '2019', '12', '15', '21', '0.0'
'2019', '12', '16', '3', '2019', '12', '15', '22', '0.0'
'2019', '12', '16', '4', '2019', '12', '15', '23', '0.0'
'2019', '12', '16', '5', '2019', '12', '16', '0', '0.0'
'2019', '12', '16', '6', '2019', '12', '16', '1', '0.0'
'2019', '12', '16', '7', '2019', '12', '16', '2', '0.0'
'2019', '12', '16', '8', '2019', '12', '16', '3', '0.0'
'2019', '12', '16', '9', '2019', '12', '16', '4', '0.0'
'2019', '12', '16', '10', '2019', '12', '16', '5', '0.0'
'2019', '12', '16', '11', '2019', '12', '16', '6', '0.0'
'2019', '12', '16', '12', '2019', '12', '16', '7', '0.0'
'2019', '12', '16', '13', '2019', '12', '16', '8', '31759.296242'
'2019', '12', '16', '14', '2019', '12', '16', '9', '109071.26452300002'
'2019', '12', '16', '15', '2019', '12', '16', '10', '141407.84887500003'
'2019', '12', '16', '16', '2019', '12', '16', '11', '120289.60356299995'
'2019', '12', '16', '17', '2019', '12', '16', '12', '118958.25993999997'
'2019', '12', '16', '18', '2019', '12', '16', '13', '165292.25028200005'
'2019', '12', '16', '19', '2019', '12', '16', '14', '146385.22695399995'
'2019', '12', '16', '20', '2019', '12', '16', '15', '94289.90854699998'
'2019', '12', '16', '21', '2019', '12', '16', '16', '21102.018719'
'2019', '12', '16', '22', '2019', '12', '16', '17', '5190.263'
'2019', '12', '16', '23', '2019', '12', '16', '18', '0.0'
'2019', '12', '17', '0', '2019', '12', '16', '19', '0.0'
'2019', '12', '17', '1', '2019', '12', '16', '20', '0.0'
'2019', '12', '17', '2', '2019', '12', '16', '21', '0.0'
'2019', '12', '17', '3', '2019', '12', '16', '22', '0.0'
'2019', '12', '17', '4', '2019', '12', '16', '23', '0.0'
'2019', '12', '17', '5', '2019', '12', '17', '0', '0.0'
'2019', '12', '17', '6', '2019', '12', '17', '1', '0.0'
'2019', '12', '17', '7', '2019', '12', '17', '2', '0.0'
'2019', '12', '17', '8', '2019', '12', '17', '3', '0.0'
'2019', '12', '17', '9', '2019', '12', '17', '4', '0.0'
'2019', '12', '17', '10', '2019', '12', '17', '5', '0.0'
'2019', '12', '17', '11', '2019', '12', '17', '6', '0.0'
'2019', '12', '17', '12', '2019', '12', '17', '7', '0.0'
'2019', '12', '17', '13', '2019', '12', '17', '8', '50074.65663100001'
'2019', '12', '17', '14', '2019', '12', '17', '9', '138573.268806'
'2019', '12', '17', '15', '2019', '12', '17', '10', '181652.43757799998'
'2019', '12', '17', '16', '2019', '12', '17', '11', '166746.39871899993'
'2019', '12', '17', '17', '2019', '12', '17', '12', '157117.63299999997'
'2019', '12', '17', '18', '2019', '12', '17', '13', '142575.87818'
'2019', '12', '17', '19', '2019', '12', '17', '14', '147644.484188'
'2019', '12', '17', '20', '2019', '12', '17', '15', '79088.270605'
'2019', '12', '17', '21', '2019', '12', '17', '16', '19503.6125'
'2019', '12', '17', '22', '2019', '12', '17', '17', '5773.737'
'2019', '12', '17', '23', '2019', '12', '17', '18', '0.0'
'2019', '12', '18', '0', '2019', '12', '17', '19', '0.0'
'2019', '12', '18', '1', '2019', '12', '17', '20', '0.0'
'2019', '12', '18', '2', '2019', '12', '17', '21', '0.0'
'2019', '12', '18', '3', '2019', '12', '17', '22', '0.0'
'2019', '12', '18', '4', '2019', '12', '17', '23', '0.0'
'2019', '12', '18', '5', '2019', '12', '18', '0', '0.0'
'2019', '12', '18', '6', '2019', '12', '18', '1', '0.0'
'2019', '12', '18', '7', '2019', '12', '18', '2', '0.0'
'2019', '12', '18', '8', '2019', '12', '18', '3', '0.0'
'2019', '12', '18', '9', '2019', '12', '18', '4', '0.0'
'2019', '12', '18', '10', '2019', '12', '18', '5', '0.0'
'2019', '12', '18', '11', '2019', '12', '18', '6', '0.0'
'2019', '12', '18', '12', '2019', '12', '18', '7', '0.0'
'2019', '12', '18', '13', '2019', '12', '18', '8', '31091.811540000002'
'2019', '12', '18', '14', '2019', '12', '18', '9', '126435.57953100002'
'2019', '12', '18', '15', '2019', '12', '18', '10', '134444.376001'
'2019', '12', '18', '16', '2019', '12', '18', '11', '131281.710602'
'2019', '12', '18', '17', '2019', '12', '18', '12', '130226.12402999999'
'2019', '12', '18', '18', '2019', '12', '18', '13', '140622.72143899996'
'2019', '12', '18', '19', '2019', '12', '18', '14', '154477.146844'
'2019', '12', '18', '20', '2019', '12', '18', '15', '70953.022624'
'2019', '12', '18', '21', '2019', '12', '18', '16', '11470.254829000001'
'2019', '12', '18', '22', '2019', '12', '18', '17', '3652.1382519999997'
'2019', '12', '18', '23', '2019', '12', '18', '18', '0.0'
'2019', '12', '19', '0', '2019', '12', '18', '19', '0.0'
'2019', '12', '19', '1', '2019', '12', '18', '20', '0.0'
'2019', '12', '19', '2', '2019', '12', '18', '21', '0.0'
'2019', '12', '19', '3', '2019', '12', '18', '22', '0.0'
'2019', '12', '19', '4', '2019', '12', '18', '23', '0.0'
'2019', '12', '19', '5', '2019', '12', '19', '0', '0.0'
'2019', '12', '19', '6', '2019', '12', '19', '1', '0.0'
